province,year,agricultural_income,industry_income,services_income,income,food_outcome,not_food_outcome,outcome
Aceh,2019,1398758,1511663,1915674,1608698,559300,434134,993433
Sumatera Utara,2019,1277779,1714302,1996429,1662837,576323,487641,1063964
Sumatera Barat,2019,1272181,1699042,2094410,1688544,609258,555621,1164879
Riau,2019,1687876,1908746,2322829,1973150,621748,611498,1233245
Jambi,2019,1570429,1913764,2266066,1916753,560542,508445,1068987
Sumatera Selatan,2019,1339048,1793972,1951874,1694965,498929,459890,958819
Bengkulu,2019,1241139,1767933,1939979,1649684,542423,553927,1096350
Lampung,2019,1184321,1532273,1782972,1499855,484800,444224,929024
Kepulauan Bangka Belitung,2019,1703344,2203480,2328732,2078519,751641,758333,1509974
Kepulauan Riau,2019,1762014,2635895,3017432,2471780,789057,989093,1778150
DKI Jakarta,2019,1734930,2890030,3578085,2734348,877449,1278664,2156112
Jawa Barat,2019,1122145,1849595,2120847,1697529,629741,637136,1266877
Jawa Tengah,2019,1087288,1568641,1750139,1468689,469421,486982,956403
DI Yogyakarta,2019,880523,1322022,1867409,1356651,546445,793281,1339726
Jawa Timur,2019,1228666,1764812,1897685,1630388,502892,533285,1036177
Banten,2019,1228564,2367689,2698201,2098151,702322,724060,1426382
Bali,2019,1358881,1747480,2878576,1994979,609181,777972,1387154
Nusa Tenggara Barat,2019,963132,1302293,1801383,1355603,539864,489587,1029451
Nusa Tenggara Timur,2019,905218,1039818,1529013,1158016,429498,321195,750693
Kalimantan Barat,2019,1177041,1980342,2231493,1796292,561142,519227,1080370
Kalimantan Tengah,2019,1600921,2312405,2511927,2141751,650759,636442,1287201
Kalimantan Selatan,2019,1378011,1921873,2155570,1818485,628902,621460,1250362
Kalimantan Timur,2019,2175465,2725328,3019262,2640018,724423,893217,1617640
Kalimantan Utara,2019,2006032,2439667,2967791,2471163,717752,738195,1455947
Sulawesi Utara,2019,1897640,2240810,2596071,2244840,568055,582728,1150783
Sulawesi Tengah,2019,1372533,1577840,2085497,1678623,505608,478032,983641
Sulawesi Selatan,2019,1659937,1803898,2169985,1877940,487934,534484,1022418
Sulawesi Tenggara,2019,1473322,1562939,1945913,1660725,475215,546075,1021290
Gorontalo,2019,1354352,1662225,1631915,1549497,452958,549906,1002864
Sulawesi Barat,2019,1235337,1114311,1469901,1273183,445427,395586,841013
Maluku,2019,1372238,1550872,2011688,1644933,507218,495021,1002239
